datetime_beginning_ept,mkt_region,zone,mw_sum
2026-01-01 16:00:00,WEST,DAY,2150.18
2026-01-01 16:00:00,WEST,DEOK,3164.77
2026-01-01 16:00:00,WEST,DUQ,1648.887
2026-01-01 16:00:00,WEST,EKPC,1835.554
2026-01-01 16:00:00,WEST,OVEC,40.0
2026-01-01 17:00:00,MIDATL,AE,1421.122
2026-01-01 17:00:00,MIDATL,BC,4655.556
2026-01-01 17:00:00,MIDATL,DPL,3027.109
2026-01-01 17:00:00,MIDATL,JC,3201.61
2026-01-01 17:00:00,MIDATL,ME,2139.473
2026-01-01 17:00:00,MIDATL,PE,5594.328
2026-01-01 17:00:00,MIDATL,PEP,4118.808
2026-01-01 17:00:00,MIDATL,PL,6127.865
2026-01-01 17:00:00,MIDATL,PN,2296.128
2026-01-01 17:00:00,MIDATL,PS,5786.6
2026-01-01 17:00:00,MIDATL,RECO,184.198
2026-01-01 17:00:00,RTO,RTO,111887.301
2026-01-01 17:00:00,SOUTH,DOM,18159.387
2026-01-01 17:00:00,WEST,AEP,18455.896
2026-01-01 17:00:00,WEST,AP,7465.355
2026-01-01 17:00:00,WEST,ATSI,8433.604
2026-01-01 17:00:00,WEST,CE,11641.228
2026-01-01 17:00:00,WEST,DAY,2223.945
2026-01-01 17:00:00,WEST,DEOK,3285.515
2026-01-01 17:00:00,WEST,DUQ,1730.855
2026-01-01 17:00:00,WEST,EKPC,1896.719
2026-01-01 17:00:00,WEST,OVEC,42.0
2026-01-01 18:00:00,MIDATL,AE,1336.092
2026-01-01 18:00:00,MIDATL,BC,4710.769
2026-01-01 18:00:00,MIDATL,DPL,3055.365
2026-01-01 18:00:00,MIDATL,JC,3201.628
2026-01-01 18:00:00,MIDATL,ME,2158.275
2026-01-01 18:00:00,MIDATL,PE,5620.151
2026-01-01 18:00:00,MIDATL,PEP,4163.456
2026-01-01 18:00:00,MIDATL,PL,6138.736
2026-01-01 18:00:00,MIDATL,PN,2328.559
2026-01-01 18:00:00,MIDATL,PS,5869.765
2026-01-01 18:00:00,MIDATL,RECO,183.493
2026-01-01 18:00:00,RTO,RTO,113027.444
2026-01-01 18:00:00,SOUTH,DOM,18411.593
2026-01-01 18:00:00,WEST,AEP,18577.137000000002
2026-01-01 18:00:00,WEST,AP,7527.086
2026-01-01 18:00:00,WEST,ATSI,8527.039999999999
2026-01-01 18:00:00,WEST,CE,11975.652
2026-01-01 18:00:00,WEST,DAY,2239.743
2026-01-01 18:00:00,WEST,DEOK,3293.519
2026-01-01 18:00:00,WEST,DUQ,1734.231
2026-01-01 18:00:00,WEST,EKPC,1934.154
2026-01-01 18:00:00,WEST,OVEC,41.0
2026-01-01 19:00:00,MIDATL,AE,1396.147
2026-01-01 19:00:00,MIDATL,BC,4703.903
2026-01-01 19:00:00,MIDATL,DPL,3065.393
2026-01-01 19:00:00,MIDATL,JC,3171.862
2026-01-01 19:00:00,MIDATL,ME,2155.787
2026-01-01 19:00:00,MIDATL,PE,5569.694
2026-01-01 19:00:00,MIDATL,PEP,4157.528
2026-01-01 19:00:00,MIDATL,PL,6114.4169999999995
2026-01-01 19:00:00,MIDATL,PN,2297.441
2026-01-01 19:00:00,MIDATL,PS,5765.374
2026-01-01 19:00:00,MIDATL,RECO,180.477
2026-01-01 19:00:00,RTO,RTO,112590.913
2026-01-01 19:00:00,SOUTH,DOM,18478.761
2026-01-01 19:00:00,WEST,AEP,18512.862
2026-01-01 19:00:00,WEST,AP,7498.507
2026-01-01 19:00:00,WEST,ATSI,8468.442
2026-01-01 19:00:00,WEST,CE,11870.178
2026-01-01 19:00:00,WEST,DAY,2197.743
2026-01-01 19:00:00,WEST,DEOK,3249.045
2026-01-01 19:00:00,WEST,DUQ,1718.038
2026-01-01 19:00:00,WEST,EKPC,1973.314
2026-01-01 19:00:00,WEST,OVEC,46.0
2026-01-01 20:00:00,MIDATL,AE,1372.762
2026-01-01 20:00:00,MIDATL,BC,4664.018
2026-01-01 20:00:00,MIDATL,DPL,3060.631
2026-01-01 20:00:00,MIDATL,JC,3131.831
2026-01-01 20:00:00,MIDATL,ME,2132.765
2026-01-01 20:00:00,MIDATL,PE,5504.748
2026-01-01 20:00:00,MIDATL,PEP,4098.417
2026-01-01 20:00:00,MIDATL,PL,6042.763
2026-01-01 20:00:00,MIDATL,PN,2267.779
2026-01-01 20:00:00,MIDATL,PS,5703.469
2026-01-01 20:00:00,MIDATL,RECO,178.381
2026-01-01 20:00:00,RTO,RTO,111434.404
2026-01-01 20:00:00,SOUTH,DOM,18419.916
2026-01-01 20:00:00,WEST,AEP,18369.767
2026-01-01 20:00:00,WEST,AP,7422.419
2026-01-01 20:00:00,WEST,ATSI,8324.636
2026-01-01 20:00:00,WEST,CE,11757.78
2026-01-01 20:00:00,WEST,DAY,2157.743
2026-01-01 20:00:00,WEST,DEOK,3175.241
2026-01-01 20:00:00,WEST,DUQ,1712.864
2026-01-01 20:00:00,WEST,EKPC,1894.474
2026-01-01 20:00:00,WEST,OVEC,42.0
2026-01-01 21:00:00,MIDATL,AE,1338.976
2026-01-01 21:00:00,MIDATL,BC,4538.929
2026-01-01 21:00:00,MIDATL,DPL,2995.63
2026-01-01 21:00:00,MIDATL,JC,3046.385
2026-01-01 21:00:00,MIDATL,ME,2070.353
2026-01-01 21:00:00,MIDATL,PE,5246.395
2026-01-01 21:00:00,MIDATL,PEP,4024.233
2026-01-01 21:00:00,MIDATL,PL,5905.294
2026-01-01 21:00:00,MIDATL,PN,2220.421
2026-01-01 21:00:00,MIDATL,PS,5634.742
2026-01-01 21:00:00,MIDATL,RECO,175.159
2026-01-01 21:00:00,RTO,RTO,109308.92
2026-01-01 21:00:00,SOUTH,DOM,18181.242
2026-01-01 21:00:00,WEST,AEP,18017.814
2026-01-01 21:00:00,WEST,AP,7224.9
2026-01-01 21:00:00,WEST,ATSI,8174.84
2026-01-01 21:00:00,WEST,CE,11568.56
2026-01-01 21:00:00,WEST,DAY,2103.743
2026-01-01 21:00:00,WEST,DEOK,3096.409
2026-01-01 21:00:00,WEST,DUQ,1677.448
2026-01-01 21:00:00,WEST,EKPC,2020.447
2026-01-01 21:00:00,WEST,OVEC,47.0
